raw_text,aspectTerms
"I think this course is very good, and I like it so much. Aj teaches and treats very well.","[{'term': 'None', 'polarity': 'positive'}]"
I really like how [instructor] listens to [instructor] students and adaptable,"[{'term': 'None', 'polarity': 'neutral'}]"
The content at some point is still teaching and does not understand.,"[{'term': 'None', 'polarity': 'negative'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'None', 'polarity': 'neutral'}]"
"Midterm exam has a lot of calculation, I think a calculator should be allowed since we are being tested for our [course] skills and not our calculation skills.","[{'term': 'None', 'polarity': 'neutral'}]"
"For 1.2, I think you should provide the link to the video you opened during the class because they are pdf files and we can see only the image. Another thing is the activity document, you should check [software] is same as schematic or not.","[{'term': 'None', 'polarity': 'neutral'}]"
"I like the way you teach us very much, as well as the suggestions and descriptions. That helps us very much to understand each assignment more clearly. Additionally, I see the effort and dedication in teaching. Thank you. I hope to see you next semester!","[{'term': 'None', 'polarity': 'positive'}]"
"Very great, you made this class more enjoyable.","[{'term': 'None', 'polarity': 'neutral'}]"
Would like to have more work as a HW than the exam,"[{'term': 'None', 'polarity': 'neutral'}]"
The quiz gives wayyyyyy too little time. Barely anyone can finish it in time. please consider. (the content is already hard enough),"[{'term': 'None', 'polarity': 'neutral'}]"
That the teacher teaching is very goodNothing led because the teacher really taught very well.,"[{'term': 'None', 'polarity': 'neutral'}]"
Ajarn should not speak during the quiz time,"[{'term': 'None', 'polarity': 'neutral'}]"
"Teacher didn’t write about topic while  teaching, so we often don’t know what chapter we learn, and using whiteboard in teaching made it harder to lecture because teacher was random location to write and disorderly. His communication was also incomprehensible.","[{'term': 'None', 'polarity': 'negative'}]"
I want [instructor] to speak clearly,"[{'term': 'None', 'polarity': 'neutral'}]"
I like that the teacher gave us advice on how to improve our projects and taught us to really understand lessons.,"[{'term': 'None', 'polarity': 'positive'}]"
Remove this subject,"[{'term': 'None', 'polarity': 'neutral'}]"
I think that [instructor] accent is hard to understand,"[{'term': 'None', 'polarity': 'neutral'}]"
"Could AJ use the slide that does not contain a solid color such as blue or black background because when students have to print the material for the examination, they are difficult to read or have to print it using color ink or Could AJ please give the slide in the format that we can edit by ourselves?","[{'term': 'None', 'polarity': 'neutral'}]"
"I enjoy the class because the instructor keeps the students engaged and is able to explain the content in a way that keeps me interested. The instructor also has broad knowledge on the subject and can explain it well. Also, I appreciate that the instructor motivates us to search for more IT knowledge.","[{'term': 'None', 'polarity': 'neutral'}]"
"I want to know every score when I send my assignment. So, I can manage my grade.","[{'term': 'None', 'polarity': 'neutral'}]"
TA is very efficient.,"[{'term': 'None', 'polarity': 'positive'}]"
Do not want to have a news event,"[{'term': 'None', 'polarity': 'neutral'}]"
"I felt like it's hard to get full picture of what's going on in the lecture class. It'd be better if the entire class is writing code together on the computer during lecture, then let everyone do their own lab afterward. That'd give us better understanding of what's going on.","[{'term': 'None', 'polarity': 'neutral'}]"
Quiz too much,"[{'term': 'None', 'polarity': 'neutral'}]"
I think students should discuss in classroom and teacher should use microphone and projector for clear teaching.,"[{'term': 'None', 'polarity': 'negative'}]"
"after midterm with [Instructor] isn't really good, his teaching method is difficult to understands yet he blames students to use ""ears and eyes"" to look and listen. he's not easy to approach.","[{'term': 'None', 'polarity': 'neutral'}]"
"I still have a problem with current grading system where the assignment, if done by code gets 100% and done by writing get 75% but there is no source code explanation which really makes it hard for the student to do as, well, you know...we are all really lazy kids and lazy kids don't read source code which is bad but that's the fact of life.","[{'term': 'None', 'polarity': 'neutral'}]"
Quiz too much,"[{'term': 'None', 'polarity': 'neutral'}]"
Thank you for teaching us and giving us advice. I'm truly grateful. I hope you all the best!,"[{'term': 'None', 'polarity': 'positive'}]"
The work is scheduled within the same day as 40 items.,"[{'term': 'None', 'polarity': 'neutral'}]"
I can't follow teacher from time to time because of English speech.,"[{'term': 'None', 'polarity': 'neutral'}]"
"Good teaching skills, very flexible","[{'term': 'None', 'polarity': 'neutral'}]"
Too many assignments in my opinion,"[{'term': 'None', 'polarity': 'neutral'}]"
recessively boring and useless subject indeed,"[{'term': 'None', 'polarity': 'neutral'}]"
The number of assignments is quite too much.,"[{'term': 'None', 'polarity': 'negative'}]"
Too much work and why you assign project before final.,"[{'term': 'None', 'polarity': 'neutral'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'None', 'polarity': 'neutral'}]"
I wish the class is onsite.,"[{'term': 'None', 'polarity': 'neutral'}]"
"The problem with most of the students, including me at some point in the learning experience, is that they cannot remember the [topic] . I was also not able to memorize the whole structure and find myself very struggling with the subject. However, one night, through my compassion and a liter of coffee, I decided to revise the material from [course]  from last semester from the beginning focusing on how [topic] works. I find that it is easier for me to study [course] knowing what and how data was sent from each layer.","[{'term': 'None', 'polarity': 'negative'}]"
"I suggest that learning in Lab or w/ computer, always help students learns better.","[{'term': 'None', 'polarity': 'neutral'}]"
Instructor often ignor student's question and things being asking regarding the class never been replyed.,"[{'term': 'None', 'polarity': 'neutral'}]"
"I believe that this subject has many benefits but the workload is too much for students compared to other classes. Even when it’s almost exam week, this class still requires us to submit work. So I think assignments should be cut less with longer time to do.","[{'term': 'None', 'polarity': 'neutral'}]"
Please let students have attendance checks while some phones aren't capable to scan from some distance or have another way for attendance,"[{'term': 'None', 'polarity': 'neutral'}]"
The instructor give descriptions and details in class topic very clear,"[{'term': 'None', 'polarity': 'positive'}]"
"I feel too cruel and there is an inappropriate comment.Such as showing children's work and comparing with other studentsAlso, there is no confusion in order to change the Instructor on the last day before sending.I can't manage time.","[{'term': 'None', 'polarity': 'negative'}]"
"I felt like it's hard to get full picture of what's going on in the lecture class. It'd be better if the entire class is writing code together on the computer during lecture, then let everyone do their own lab afterward. That'd give us better understanding of what's going on.","[{'term': 'None', 'polarity': 'negative'}]"
The teacher taught very well.,"[{'term': 'None', 'polarity': 'positive'}]"
Everything is fantastic except for using the [system] for work.,"[{'term': 'None', 'polarity': 'neutral'}]"
I like the real-time feedback that [instructor] gave during class.,"[{'term': 'None', 'polarity': 'positive'}]"
"This class is the least enjoyable class in this semeseter. The weekly assignment in my opinion is not nessecary. This class's assignment is too heavy, and it takes up most of the time I have spent in this semester. So much work for so few credits, not to mention that the content is scattered all over the place, with some overlapping with computer networking and software engineering. I think this class has potential but by the way it is planned right now, theres too much unnessecary workload and too much contents. Please adjust this class.","[{'term': 'None', 'polarity': 'negative'}]"
It would be better if we have the permanent schedule for the class. Separate every class for each section might be more efficient.,"[{'term': 'None', 'polarity': 'neutral'}]"
"The teacher does not understand, must read almost 100%. There is no understanding of the content at all.I don't know how the content taught.Speaking sarcasticallyWhen there is a consultation in the classDue to not understanding and unable to catch upThe teacher has a rating to go out of the room, which actually has the duty to teach aboutIf teachingNo need to talk to each other.Speak on the moodExpressed the maturity of the instructorWould like the teacher to focus more on teaching","[{'term': 'None', 'polarity': 'negative'}]"
"The deadline for homework is too fast. I think the teacher should give more time to do the homework in order to give me time to learn and practice more.(I such a slow person to understand Math, It is hard to do a lot of questions within 00.00 am deadline)","[{'term': 'None', 'polarity': 'neutral'}]"
"When there is a question, the teacher cannot answer the question.Told me to ask a friend who felt that it was the duty of the teacherTeaching media is quite bad.Slide each week, switch back and forth without proportion.","[{'term': 'None', 'polarity': 'neutral'}]"
Too much homeworkThere are every week.,"[{'term': 'None', 'polarity': 'neutral'}]"
recessively boring and useless subject indeed,"[{'term': 'None', 'polarity': 'neutral'}]"
"Like, please ask for the quiz at the end of the period.","[{'term': 'None', 'polarity': 'neutral'}]"
Please don't teach too slowly,"[{'term': 'None', 'polarity': 'neutral'}]"
"Will be even better if thereoutline in the work sectionSo that students will focus on the topic that the course needs moreBut if in order to think, study, research, find the necessary information by yourself, now is ok","[{'term': 'None', 'polarity': 'neutral'}]"
The teacher taught very well.,"[{'term': 'None', 'polarity': 'neutral'}]"
Like in the entry of the work of the instructorThe teacher uses a variety of boring tones and teaching.Makes me feel that this course is worth studyingAs well as allowing students to participate in the opinion or have reaction,"[{'term': 'None', 'polarity': 'positive'}]"
"At the time of writing, how to use other apps instead, such as the [Software], [software] etc. Because writing in [software] is quite delay and makes it difficult to read sometimes.Thank you in advance.","[{'term': 'None', 'polarity': 'neutral'}]"
Would like the teacher to have techniques that make students more interested in studying,"[{'term': 'None', 'polarity': 'neutral'}]"
please use a microphone,"[{'term': 'None', 'polarity': 'neutral'}]"
"There are many students each year that fail this course. Therefore, I think the faculty should consider that this course could change and examine it.","[{'term': 'None', 'polarity': 'negative'}]"
"If the class requires students to take the quiz on site, it should be arranged in class time.","[{'term': 'None', 'polarity': 'negative'}]"
"Good course, learning many things, even teammate does not work very well as expected.","[{'term': 'None', 'polarity': 'neutral'}]"
"I enjoy the class because the instructor keeps the students engaged and is able to explain the content in a way that keeps me interested. The instructor also has broad knowledge on the subject and can explain it well. Also, I appreciate that the instructor motivates us to search for more IT knowledge.","[{'term': 'None', 'polarity': 'neutral'}]"
"Want to have a workshop, try to use various tools to see the image","[{'term': 'None', 'polarity': 'neutral'}]"
"The teacher does not understand, must read almost 100%. There is no understanding of the content at all.I don't know how the content taught.Speaking sarcasticallyWhen there is a consultation in the classDue to not understanding and unable to catch upThe teacher has a rating to go out of the room, which actually has the duty to teach aboutIf teachingNo need to talk to each other.Speak on the moodExpressed the maturity of the instructorWould like the teacher to focus more on teaching","[{'term': 'None', 'polarity': 'neutral'}]"
Please wait for those whom lack of understanding.,"[{'term': 'None', 'polarity': 'neutral'}]"
[instructor] accent is hard to understand a lesson.,"[{'term': 'None', 'polarity': 'neutral'}]"
I think changing to other studies should be more useful (such as [Course] etc.),"[{'term': 'None', 'polarity': 'neutral'}]"
"Homework that is done without a clear answer, resulting in the idea that it is a trainingBut doing without knowing whether it is wrong or not, it may be benefited anyway.","[{'term': 'None', 'polarity': 'neutral'}]"
"I believe that this subject has many benefits but the workload is too much for students compared to other classes. Even when it’s almost exam week, this class still requires us to submit work. So I think assignments should be cut less with longer time to do.","[{'term': 'None', 'polarity': 'neutral'}]"
Would like the teacher to have techniques that make students more interested in studying,"[{'term': 'None', 'polarity': 'neutral'}]"
I like your class very much. It's very great for us. I have received a lot of opinions in your class. Thank you!!,"[{'term': 'None', 'polarity': 'neutral'}]"
The lecture is easy to understand after the instructor has taught.,"[{'term': 'None', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'None', 'polarity': 'neutral'}]"
"[instructor] teachings are quite confusing, yes, the [course] subject itself is very hard, but [instructor] style of teaching makes it quite hard to understand the meaning, add to that the slides are not quite detailed and vague in meaning. One particular unbelievable moment is giving assignments a week before an exam, yes, the assignment is useful but at least give us that final assignment much earlier than that.","[{'term': 'None', 'polarity': 'negative'}]"
"I would like this course to be more practical. It is mostly about the theory, which cannot engage students to learn more about [course] even though it is fun and useful in real life. I wish it to focus more on the real implementation and reduce the theory part.","[{'term': 'None', 'polarity': 'neutral'}]"
"The recording is not provided, but I do urge academic affairs to provide the recordings so that the students may be able to revise the material on their own.","[{'term': 'None', 'polarity': 'neutral'}]"
"Love the way you teach us, I appreciate it!","[{'term': 'None', 'polarity': 'neutral'}]"
Assignments’s Deadline too early.,"[{'term': 'None', 'polarity': 'negative'}]"
I wish the class is onsite.,"[{'term': 'None', 'polarity': 'negative'}]"
I appreciate that the teacher gives us feedback on our projects and helps us grasp the material well.,"[{'term': 'None', 'polarity': 'positive'}]"
I appreciate that the teacher gives us feedback on our projects and helps us grasp the material well.,"[{'term': 'None', 'polarity': 'positive'}]"
I appreciate that the teacher gives us feedback on our projects and helps us grasp the material well.,"[{'term': 'None', 'polarity': 'neutral'}]"
I appreciate that the teacher gives us feedback on our projects and helps us grasp the material well.,"[{'term': 'None', 'polarity': 'neutral'}]"
"While the lessons were informative, I found the teacher’s feedback on our projects to be lacking and unhelpful at times.","[{'term': 'None', 'polarity': 'negative'}]"
"While the lessons were informative, I found the teacher’s feedback on our projects to be lacking and unhelpful at times.","[{'term': 'None', 'polarity': 'positive'}]"
"While the lessons were informative, I found the teacher’s feedback on our projects to be lacking and unhelpful at times.","[{'term': 'None', 'polarity': 'neutral'}]"
"While the lessons were informative, I found the teacher’s feedback on our projects to be lacking and unhelpful at times.","[{'term': 'None', 'polarity': 'neutral'}]"
"The content of the course is engaging, and the instructor does a decent job, but sometimes the classes dragged on too long.","[{'term': 'None', 'polarity': 'positive'}]"
"The content of the course is engaging, and the instructor does a decent job, but sometimes the classes dragged on too long.","[{'term': 'None', 'polarity': 'positive'}]"
"The content of the course is engaging, and the instructor does a decent job, but sometimes the classes dragged on too long.","[{'term': 'None', 'polarity': 'neutral'}]"
"The content of the course is engaging, and the instructor does a decent job, but sometimes the classes dragged on too long.","[{'term': 'None', 'polarity': 'negative'}]"
"I appreciate how the material is presented, but I wish there were more examples to work with.","[{'term': 'None', 'polarity': 'positive'}]"
"I appreciate how the material is presented, but I wish there were more examples to work with.","[{'term': 'None', 'polarity': 'neutral'}]"
"I appreciate how the material is presented, but I wish there were more examples to work with.","[{'term': 'None', 'polarity': 'neutral'}]"
"I appreciate how the material is presented, but I wish there were more examples to work with.","[{'term': 'None', 'polarity': 'neutral'}]"
"While I enjoyed the lectures, I found it difficult to keep up with the pacing of the course.","[{'term': 'None', 'polarity': 'neutral'}]"
"While I enjoyed the lectures, I found it difficult to keep up with the pacing of the course.","[{'term': 'None', 'polarity': 'positive'}]"
"While I enjoyed the lectures, I found it difficult to keep up with the pacing of the course.","[{'term': 'None', 'polarity': 'neutral'}]"
"While I enjoyed the lectures, I found it difficult to keep up with the pacing of the course.","[{'term': 'None', 'polarity': 'negative'}]"
"The instructor explained the concepts clearly in both Thai and English, making it easier to understand the material.","[{'term': 'None', 'polarity': 'positive'}]"
"The instructor explained the concepts clearly in both Thai and English, making it easier to understand the material.","[{'term': 'None', 'polarity': 'positive'}]"
"The instructor explained the concepts clearly in both Thai and English, making it easier to understand the material.","[{'term': 'None', 'polarity': 'neutral'}]"
"The instructor explained the concepts clearly in both Thai and English, making it easier to understand the material.","[{'term': 'None', 'polarity': 'neutral'}]"
"While the content covered the lesson adequately, the instructor sometimes rushed through the topics, which left students confused.","[{'term': 'None', 'polarity': 'negative'}]"
"While the content covered the lesson adequately, the instructor sometimes rushed through the topics, which left students confused.","[{'term': 'None', 'polarity': 'neutral'}]"
"While the content covered the lesson adequately, the instructor sometimes rushed through the topics, which left students confused.","[{'term': 'None', 'polarity': 'negative'}]"
"While the content covered the lesson adequately, the instructor sometimes rushed through the topics, which left students confused.","[{'term': 'None', 'polarity': 'negative'}]"
"The course covered a lot of information, but I felt more motivation could have been created by the instructor.","[{'term': 'None', 'polarity': 'negative'}]"
"The course covered a lot of information, but I felt more motivation could have been created by the instructor.","[{'term': 'None', 'polarity': 'positive'}]"
"The course covered a lot of information, but I felt more motivation could have been created by the instructor.","[{'term': 'None', 'polarity': 'negative'}]"
"The course covered a lot of information, but I felt more motivation could have been created by the instructor.","[{'term': 'None', 'polarity': 'neutral'}]"
"The instructor makes the class engaging, which helps me stay motivated.","[{'term': 'None', 'polarity': 'positive'}]"
"The instructor makes the class engaging, which helps me stay motivated.","[{'term': 'None', 'polarity': 'neutral'}]"
"The instructor makes the class engaging, which helps me stay motivated.","[{'term': 'None', 'polarity': 'positive'}]"
"The instructor makes the class engaging, which helps me stay motivated.","[{'term': 'None', 'polarity': 'negative'}]"
"I find the content quality to be overwhelming at times, and I struggle to keep up.","[{'term': 'None', 'polarity': 'neutral'}]"
"I find the content quality to be overwhelming at times, and I struggle to keep up.","[{'term': 'None', 'polarity': 'negative'}]"
"I find the content quality to be overwhelming at times, and I struggle to keep up.","[{'term': 'None', 'polarity': 'negative'}]"
"I find the content quality to be overwhelming at times, and I struggle to keep up.","[{'term': 'None', 'polarity': 'neutral'}]"
"I appreciate the structured organization in this course, but I sometimes feel tired during long lectures.","[{'term': 'None', 'polarity': 'neutral'}]"
"I appreciate the structured organization in this course, but I sometimes feel tired during long lectures.","[{'term': 'None', 'polarity': 'positive'}]"
"I appreciate the structured organization in this course, but I sometimes feel tired during long lectures.","[{'term': 'None', 'polarity': 'neutral'}]"
"I appreciate the structured organization in this course, but I sometimes feel tired during long lectures.","[{'term': 'None', 'polarity': 'positive'}]"
I want the instructor to speak clearly,"[{'term': 'None', 'polarity': 'neutral'}]"
I want the instructor to speak clearly,"[{'term': 'None', 'polarity': 'positive'}]"
I want the instructor to speak clearly,"[{'term': 'None', 'polarity': 'positive'}]"
I want the instructor to speak clearly,"[{'term': 'None', 'polarity': 'negative'}]"
I wish the instructor would explain the content better,"[{'term': 'None', 'polarity': 'negative'}]"
I wish the instructor would explain the content better,"[{'term': 'None', 'polarity': 'neutral'}]"
I wish the instructor would explain the content better,"[{'term': 'None', 'polarity': 'positive'}]"
I wish the instructor would explain the content better,"[{'term': 'None', 'polarity': 'positive'}]"
I would prefer if the instructor focused more on the topics,"[{'term': 'None', 'polarity': 'negative'}]"
I would prefer if the instructor focused more on the topics,"[{'term': 'None', 'polarity': 'negative'}]"
I would prefer if the instructor focused more on the topics,"[{'term': 'None', 'polarity': 'neutral'}]"
I would prefer if the instructor focused more on the topics,"[{'term': 'None', 'polarity': 'neutral'}]"
"Despite some challenges, I appreciate the passion [instructor] shows in trying to engage students during the lectures.","[{'term': 'None', 'polarity': 'positive'}]"
"Despite some challenges, I appreciate the passion [instructor] shows in trying to engage students during the lectures.","[{'term': 'None', 'polarity': 'neutral'}]"
"Despite some challenges, I appreciate the passion [instructor] shows in trying to engage students during the lectures.","[{'term': 'None', 'polarity': 'positive'}]"
