raw_text,aspectTerms
"Professor received homework in class, so when i get sick i cannot sent the homework properly. I think ajarn should use [software] to sent the homework. It does not make sense that student must send the homework without using [system] while in online session student can send the assignment with tools.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Would like the teacher to speak clearlyAnd there are indicators of the details of both the Assignment and the scores of that work.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'motivation', 'polarity': 'positive'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'content quality', 'polarity': 'negative'}]"
Aj. is very nice. You made us feel comfortable asking. Thank you.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I really like how [instructor] listens to [instructor] students and adaptable,"[{'term': 'instructor', 'polarity': 'positive'}]"
Would like to have various assignments in [System] or [Sytem].,"[{'term': 'organization', 'polarity': 'neutral'}]"
too much unnecessary work,"[{'term': 'organization', 'polarity': 'negative'}]"
The teacher should have more time to check the name.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The job details are not clear.There is almost every mistake because the teacher speaks quite softly and is difficult to listen.,"[{'term': 'organization', 'polarity': 'negative'}]"
Would like the teacher to help focus more on the child behind the roomWould like to teach more slowly for all students to have more efficiency,"[{'term': 'organization', 'polarity': 'negative'}]"
TA is very efficient.,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Advanced topic in [course], and [topic] is very difficult.","[{'term': 'organization', 'polarity': 'neutral'}]"
"I would like the instructor to understand that the method of learning which [instructor] teach is not give student enough understanding for most of student in the class. Even thought some student can implement the project as the requirement, it is because he/she have to seek more knowledge outside the class as instructor may have to consider why most of the student in the class cannot reach the requirement of the project, why they cannot delivered the project which using only the knowledge they learned in the class should be enough. As a result, I would love to let the instructor and faculty know that [instructor] is a kind, good person, and [instructor] can give a good advise with a good intention, but sometime it required morethan that to make the good class.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"he is a kind person and can be a good advisor, however he is not a good instructor at all since he cannot delivered the knowledge in the class to make the student understand.","[{'term': 'content quality', 'polarity': 'neutral'}]"
maybe he is good in teaching in Thai language morethan explains things in english.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I think changing to other studies should be more useful (such as [Course] etc.),"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I feel too cruel and there is an inappropriate comment.Such as showing children's work and comparing with other studentsAlso, there is no confusion in order to change the Instructor on the last day before sending.I can't manage time.","[{'term': 'instructor', 'polarity': 'negative'}]"
Too much works,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I want to thank you for every time Ajarn gives me advice. you are the best!,"[{'term': 'instructor', 'polarity': 'positive'}]"
We shouldn't have this subject in our faculty from its uselessness,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Would like the teacher to keep this style indefinitely. I study with the teacher a lot, but have to repeat more knowledge than others","[{'term': 'organization', 'polarity': 'neutral'}]"
"Ajarn releases the project 2 very late, but it should be releases at the beginning of November in syllabus. That is very little time to do the project.","[{'term': 'organization', 'polarity': 'negative'}]"
Like in the entry of the work of the instructorThe teacher uses a variety of boring tones and teaching.Makes me feel that this course is worth studyingAs well as allowing students to participate in the opinion or have reaction,"[{'term': 'motivation', 'polarity': 'positive'}]"
Thank you for teaching us and giving us advice. I'm truly grateful. I hope you all the best!,"[{'term': 'organization', 'polarity': 'neutral'}]"
This course is good. The children should study.,"[{'term': 'content quality', 'polarity': 'positive'}]"
Do not want to have a news event,"[{'term': 'content quality', 'polarity': 'neutral'}]"
continue with this teaching method,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Too many work and must be sent within one day.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Please record lectures online,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"It's difficult install [software] on Unix based devices, especially with the modern ARM processors, [software] only supports the x86_64 architecture. I think there are plenty of alternatives that natively support both x86_64 and arm64 chipsets (maybe the ones that are web based or written in java), as running Netica through emulation causes the program to be unstable and crashes alot (Tested on x86_64 Suse Tumbleweed and arm64 Windows, there are cases where my friends with m1 macbooks aren't able to install at all).","[{'term': 'motivation', 'polarity': 'neutral'}]"
I would like teachers to be more flexible about checking attendance classes and grading.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"after midterm with [Instructor] isn't really good, his teaching method is difficult to understands yet he blames students to use ""ears and eyes"" to look and listen. he's not easy to approach.","[{'term': 'motivation', 'polarity': 'negative'}]"
We shouldn't have this subject in our faculty from its uselessness,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"In the part where I didn't understand the coding, I want this course to teach me more clearly about competitive thinking or the process to do before coding, like cutting the problem. However, I also think this course is good for us.","[{'term': 'organization', 'polarity': 'neutral'}]"
Love the way u taught.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I like you teaching such as assignments, give us an example.","[{'term': 'content quality', 'polarity': 'neutral'}]"
The air conditioner in the lab is very cold.Would like the table to be wider than this when placing the box [Course] and the laptop,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Change the way U taught, not copy from book. Make it simplify and easy for student to learn.","[{'term': 'organization', 'polarity': 'neutral'}]"
There should be more hour studying this course.And there is a problem similar to the exam to practice,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"I like to study with the teacher very much. I like the accent, like the attention of the teacher.","[{'term': 'instructor', 'polarity': 'positive'}]"
"Would like the teacher to keep this style indefinitely. I study with the teacher a lot, but have to repeat more knowledge than others","[{'term': 'content quality', 'polarity': 'neutral'}]"
"Change the way U taught, not copy from book. Make it simplify and easy for student to learn.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Would like to have more work as a HW than the exam,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The content in later parts of the course are very hard to understand. I wonder if any of my friends understand 60% of it.,"[{'term': 'content quality', 'polarity': 'negative'}]"
Sometimes I didn't catch the content if you went too fast.,"[{'term': 'instructor', 'polarity': 'negative'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I think this course is very good, and I like it so much. Aj teaches and treats very well.","[{'term': 'instructor', 'polarity': 'positive'}]"
I really like how [instructor] listens to [instructor] students and adaptable,"[{'term': 'motivation', 'polarity': 'neutral'}]"
The content at some point is still teaching and does not understand.,"[{'term': 'instructor', 'polarity': 'negative'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'organization', 'polarity': 'neutral'}]"
"Midterm exam has a lot of calculation, I think a calculator should be allowed since we are being tested for our [course] skills and not our calculation skills.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"For 1.2, I think you should provide the link to the video you opened during the class because they are pdf files and we can see only the image. Another thing is the activity document, you should check [software] is same as schematic or not.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"I like the way you teach us very much, as well as the suggestions and descriptions. That helps us very much to understand each assignment more clearly. Additionally, I see the effort and dedication in teaching. Thank you. I hope to see you next semester!","[{'term': 'instructor', 'polarity': 'positive'}]"
"Very great, you made this class more enjoyable.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like to have more work as a HW than the exam,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The quiz gives wayyyyyy too little time. Barely anyone can finish it in time. please consider. (the content is already hard enough),"[{'term': 'instructor', 'polarity': 'neutral'}]"
That the teacher teaching is very goodNothing led because the teacher really taught very well.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Ajarn should not speak during the quiz time,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Teacher didn’t write about topic while  teaching, so we often don’t know what chapter we learn, and using whiteboard in teaching made it harder to lecture because teacher was random location to write and disorderly. His communication was also incomprehensible.","[{'term': 'organization', 'polarity': 'negative'}]"
I want [instructor] to speak clearly,"[{'term': 'motivation', 'polarity': 'neutral'}]"
I like that the teacher gave us advice on how to improve our projects and taught us to really understand lessons.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Remove this subject,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I think that [instructor] accent is hard to understand,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Could AJ use the slide that does not contain a solid color such as blue or black background because when students have to print the material for the examination, they are difficult to read or have to print it using color ink or Could AJ please give the slide in the format that we can edit by ourselves?","[{'term': 'instructor', 'polarity': 'neutral'}]"
"I enjoy the class because the instructor keeps the students engaged and is able to explain the content in a way that keeps me interested. The instructor also has broad knowledge on the subject and can explain it well. Also, I appreciate that the instructor motivates us to search for more IT knowledge.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I want to know every score when I send my assignment. So, I can manage my grade.","[{'term': 'motivation', 'polarity': 'neutral'}]"
TA is very efficient.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Do not want to have a news event,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"I felt like it's hard to get full picture of what's going on in the lecture class. It'd be better if the entire class is writing code together on the computer during lecture, then let everyone do their own lab afterward. That'd give us better understanding of what's going on.","[{'term': 'instructor', 'polarity': 'neutral'}]"
Quiz too much,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I think students should discuss in classroom and teacher should use microphone and projector for clear teaching.,"[{'term': 'organization', 'polarity': 'negative'}]"
"after midterm with [Instructor] isn't really good, his teaching method is difficult to understands yet he blames students to use ""ears and eyes"" to look and listen. he's not easy to approach.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I still have a problem with current grading system where the assignment, if done by code gets 100% and done by writing get 75% but there is no source code explanation which really makes it hard for the student to do as, well, you know...we are all really lazy kids and lazy kids don't read source code which is bad but that's the fact of life.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Quiz too much,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Thank you for teaching us and giving us advice. I'm truly grateful. I hope you all the best!,"[{'term': 'instructor', 'polarity': 'positive'}]"
The work is scheduled within the same day as 40 items.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I can't follow teacher from time to time because of English speech.,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Good teaching skills, very flexible","[{'term': 'organization', 'polarity': 'neutral'}]"
Too many assignments in my opinion,"[{'term': 'organization', 'polarity': 'neutral'}]"
recessively boring and useless subject indeed,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The number of assignments is quite too much.,"[{'term': 'organization', 'polarity': 'negative'}]"
Too much work and why you assign project before final.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'instructor', 'polarity': 'neutral'}]"
I wish the class is onsite.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"The problem with most of the students, including me at some point in the learning experience, is that they cannot remember the [topic] . I was also not able to memorize the whole structure and find myself very struggling with the subject. However, one night, through my compassion and a liter of coffee, I decided to revise the material from [course]  from last semester from the beginning focusing on how [topic] works. I find that it is easier for me to study [course] knowing what and how data was sent from each layer.","[{'term': 'organization', 'polarity': 'negative'}]"
"I suggest that learning in Lab or w/ computer, always help students learns better.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Instructor often ignor student's question and things being asking regarding the class never been replyed.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I believe that this subject has many benefits but the workload is too much for students compared to other classes. Even when it’s almost exam week, this class still requires us to submit work. So I think assignments should be cut less with longer time to do.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Please let students have attendance checks while some phones aren't capable to scan from some distance or have another way for attendance,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The instructor give descriptions and details in class topic very clear,"[{'term': 'organization', 'polarity': 'positive'}]"
"I feel too cruel and there is an inappropriate comment.Such as showing children's work and comparing with other studentsAlso, there is no confusion in order to change the Instructor on the last day before sending.I can't manage time.","[{'term': 'organization', 'polarity': 'negative'}]"
"I felt like it's hard to get full picture of what's going on in the lecture class. It'd be better if the entire class is writing code together on the computer during lecture, then let everyone do their own lab afterward. That'd give us better understanding of what's going on.","[{'term': 'organization', 'polarity': 'negative'}]"
The teacher taught very well.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Everything is fantastic except for using the [system] for work.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
I like the real-time feedback that [instructor] gave during class.,"[{'term': 'instructor', 'polarity': 'positive'}]"
"This class is the least enjoyable class in this semeseter. The weekly assignment in my opinion is not nessecary. This class's assignment is too heavy, and it takes up most of the time I have spent in this semester. So much work for so few credits, not to mention that the content is scattered all over the place, with some overlapping with computer networking and software engineering. I think this class has potential but by the way it is planned right now, theres too much unnessecary workload and too much contents. Please adjust this class.","[{'term': 'content quality', 'polarity': 'negative'}]"
It would be better if we have the permanent schedule for the class. Separate every class for each section might be more efficient.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"The teacher does not understand, must read almost 100%. There is no understanding of the content at all.I don't know how the content taught.Speaking sarcasticallyWhen there is a consultation in the classDue to not understanding and unable to catch upThe teacher has a rating to go out of the room, which actually has the duty to teach aboutIf teachingNo need to talk to each other.Speak on the moodExpressed the maturity of the instructorWould like the teacher to focus more on teaching","[{'term': 'organization', 'polarity': 'negative'}]"
"The deadline for homework is too fast. I think the teacher should give more time to do the homework in order to give me time to learn and practice more.(I such a slow person to understand Math, It is hard to do a lot of questions within 00.00 am deadline)","[{'term': 'motivation', 'polarity': 'neutral'}]"
"When there is a question, the teacher cannot answer the question.Told me to ask a friend who felt that it was the duty of the teacherTeaching media is quite bad.Slide each week, switch back and forth without proportion.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Too much homeworkThere are every week.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
recessively boring and useless subject indeed,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Like, please ask for the quiz at the end of the period.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Please don't teach too slowly,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Will be even better if thereoutline in the work sectionSo that students will focus on the topic that the course needs moreBut if in order to think, study, research, find the necessary information by yourself, now is ok","[{'term': 'instructor', 'polarity': 'neutral'}]"
The teacher taught very well.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Like in the entry of the work of the instructorThe teacher uses a variety of boring tones and teaching.Makes me feel that this course is worth studyingAs well as allowing students to participate in the opinion or have reaction,"[{'term': 'instructor', 'polarity': 'positive'}]"
"At the time of writing, how to use other apps instead, such as the [Software], [software] etc. Because writing in [software] is quite delay and makes it difficult to read sometimes.Thank you in advance.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like the teacher to have techniques that make students more interested in studying,"[{'term': 'organization', 'polarity': 'neutral'}]"
please use a microphone,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"There are many students each year that fail this course. Therefore, I think the faculty should consider that this course could change and examine it.","[{'term': 'content quality', 'polarity': 'negative'}]"
"If the class requires students to take the quiz on site, it should be arranged in class time.","[{'term': 'organization', 'polarity': 'negative'}]"
"Good course, learning many things, even teammate does not work very well as expected.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"I enjoy the class because the instructor keeps the students engaged and is able to explain the content in a way that keeps me interested. The instructor also has broad knowledge on the subject and can explain it well. Also, I appreciate that the instructor motivates us to search for more IT knowledge.","[{'term': 'organization', 'polarity': 'neutral'}]"
"Want to have a workshop, try to use various tools to see the image","[{'term': 'organization', 'polarity': 'neutral'}]"
"The teacher does not understand, must read almost 100%. There is no understanding of the content at all.I don't know how the content taught.Speaking sarcasticallyWhen there is a consultation in the classDue to not understanding and unable to catch upThe teacher has a rating to go out of the room, which actually has the duty to teach aboutIf teachingNo need to talk to each other.Speak on the moodExpressed the maturity of the instructorWould like the teacher to focus more on teaching","[{'term': 'content quality', 'polarity': 'neutral'}]"
Please wait for those whom lack of understanding.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
[instructor] accent is hard to understand a lesson.,"[{'term': 'organization', 'polarity': 'neutral'}]"
I think changing to other studies should be more useful (such as [Course] etc.),"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Homework that is done without a clear answer, resulting in the idea that it is a trainingBut doing without knowing whether it is wrong or not, it may be benefited anyway.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I believe that this subject has many benefits but the workload is too much for students compared to other classes. Even when it’s almost exam week, this class still requires us to submit work. So I think assignments should be cut less with longer time to do.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Would like the teacher to have techniques that make students more interested in studying,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I like your class very much. It's very great for us. I have received a lot of opinions in your class. Thank you!!,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The lecture is easy to understand after the instructor has taught.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'organization', 'polarity': 'neutral'}]"
"[instructor] teachings are quite confusing, yes, the [course] subject itself is very hard, but [instructor] style of teaching makes it quite hard to understand the meaning, add to that the slides are not quite detailed and vague in meaning. One particular unbelievable moment is giving assignments a week before an exam, yes, the assignment is useful but at least give us that final assignment much earlier than that.","[{'term': 'content quality', 'polarity': 'negative'}]"
"I would like this course to be more practical. It is mostly about the theory, which cannot engage students to learn more about [course] even though it is fun and useful in real life. I wish it to focus more on the real implementation and reduce the theory part.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"The recording is not provided, but I do urge academic affairs to provide the recordings so that the students may be able to revise the material on their own.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Love the way you teach us, I appreciate it!","[{'term': 'motivation', 'polarity': 'neutral'}]"
Assignments’s Deadline too early.,"[{'term': 'organization', 'polarity': 'negative'}]"
I wish the class is onsite.,"[{'term': 'organization', 'polarity': 'negative'}]"
"Like, please ask for the quiz at the end of the period.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I think this course is really important for future work. If students can digest the class content, it would be very beneficial for them.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"A fun subject to study, with a reasonable workload.","[{'term': 'content quality', 'polarity': 'neutral'}]"
It would be better if we have the permanent schedule for the class. Separate every class for each section might be more efficient.,"[{'term': 'organization', 'polarity': 'negative'}]"
like the teaching way,"[{'term': 'instructor', 'polarity': 'positive'}]"
"Good course, learning many things, even teammate does not work very well as expected.","[{'term': 'content quality', 'polarity': 'positive'}]"
"It's difficult install [software] on Unix based devices, especially with the modern ARM processors, [software] only supports the x86_64 architecture. I think there are plenty of alternatives that natively support both x86_64 and arm64 chipsets (maybe the ones that are web based or written in java), as running Netica through emulation causes the program to be unstable and crashes alot (Tested on x86_64 Suse Tumbleweed and arm64 Windows, there are cases where my friends with m1 macbooks aren't able to install at all).","[{'term': 'content quality', 'polarity': 'neutral'}]"
continue with this teaching method,"[{'term': 'organization', 'polarity': 'neutral'}]"
Please extend the period assignment deadline by a day.,"[{'term': 'organization', 'polarity': 'negative'}]"
Remove this subject,"[{'term': 'organization', 'polarity': 'neutral'}]"
"For this, I do suggest that the instructor incorporate some tactics for the students to memorize all the [topic], [topic], and [topic] in the [topic].","[{'term': 'motivation', 'polarity': 'neutral'}]"
The number of assignments is quite too much.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Midterm exam has a lot of calculation, I think a calculator should be allowed since we are being tested for our [course] skills and not our calculation skills.","[{'term': 'organization', 'polarity': 'negative'}]"
"I believe that having some short breaks during 3 hours class would not hurt the flow of the class, so I would like to suggest to allow students for some breaks during class.","[{'term': 'organization', 'polarity': 'negative'}]"
"I like the teacher very much. I understand. I know about it, but because I am not very practicing so I can't do it.","[{'term': 'instructor', 'polarity': 'positive'}]"
"He's a good teacher. I see my change, thank you kubb!","[{'term': 'motivation', 'polarity': 'neutral'}]"
I like to study this subject in online form.But don't want to be strictOr accelerating too much of the quiz in the period,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I like the way you teach us very much, as well as the suggestions and descriptions. That helps us very much to understand each assignment more clearly. Additionally, I see the effort and dedication in teaching. Thank you. I hope to see you next semester!","[{'term': 'motivation', 'polarity': 'positive'}]"
"great teacher, very caring and respectful. unfortunately the classes are usually at the evening of the day. on the other hand, the workloads on other subjects redusce the time we can spend with the study buddies and self-learning significantly","[{'term': 'content quality', 'polarity': 'neutral'}]"
"Teacher doesn’t have responsibility to prepare slide because we waste time for this 1 hr from 1hr 30min. [instructor] didn’t clearly speak in class. i don’t understand anything that he want until i think i weak english skill but when i study in extra class, i will know.","[{'term': 'instructor', 'polarity': 'negative'}]"
"[instructor] teachings are quite confusing, yes, the [course] subject itself is very hard, but [instructor] style of teaching makes it quite hard to understand the meaning, add to that the slides are not quite detailed and vague in meaning. One particular unbelievable moment is giving assignments a week before an exam, yes, the assignment is useful but at least give us that final assignment much earlier than that.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Everything is fantastic except for using the [system] for work.,"[{'term': 'content organization', 'polarity': 'neutral'}]"
"Projects are challenging, it will be more enjoyable if we have more time to do it. Regretted not doing the coding for assignment","[{'term': 'organization', 'polarity': 'negative'}]"
I cant understand what teacher teach,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Everything is great, but the midterm exam is quite hard lol, maybe I have to try harder to understand it.","[{'term': 'organization', 'polarity': 'neutral'}]"
"The lecture slides content is sometimes having too much content for students to digest, but still appreciated studying this course with [instructor] and [instructor].","[{'term': 'organization', 'polarity': 'neutral'}]"
"I believe that having some short breaks during 3 hours class would not hurt the flow of the class, so I would like to suggest to allow students for some breaks during class.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"Everyone should have an Extra Point. No one can do it on the board.Because some people have already studied and still do not understandResulting in only a good person and thinks quickly to write on the board to get an Extra Point score, so it should be given to people who have not received an Extra Point to do some to get the Extra Point scores like those who can do it.","[{'term': 'motivation', 'polarity': 'neutral'}]"
We shouldn't have this subject in our faculty from its uselessness,"[{'term': 'motivation', 'polarity': 'neutral'}]"
I can't follow teacher from time to time because of English speech.,"[{'term': 'instructor', 'polarity': 'negative'}]"
Would like the teacher to speak clearlyAnd there are indicators of the details of both the Assignment and the scores of that work.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The job details are not clear.There is almost every mistake because the teacher speaks quite softly and is difficult to listen.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like to have a link that can write and edit the group listSo that some students who do not have a group can know that there are no groups and request to join the group with other groups.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The job details are not clear.There is almost every discrepancy because the teacher speaks quite softly and is difficult to listen.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I strongly suggest to tackle real-world practical examples, applying the theory learned in-classroom. That will make the acquired knowledge “more tangible”.Some topics are very subjective and, as the lemma of our university reminds us…, the true success does not lie in the leatning, but in its real-life application (imagination accompanied with in-class knowledge).The instructors ate great. Maybe it is just a shortage of time.Thank you Cordially, [student]","[{'term': 'organization', 'polarity': 'positive'}]"
I like the real-time feedback that [instructor] gave during class.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"great teacher, very caring and respectful. unfortunately the classes are usually at the evening of the day. on the other hand, the workloads on other subjects redusce the time we can spend with the study buddies and self-learning significantly","[{'term': 'instructor', 'polarity': 'positive'}]"
I would like teachers to be more flexible about checking attendance classes and grading.,"[{'term': 'organization', 'polarity': 'negative'}]"
