raw_text,aspectTerms
I would like teachers to be more flexible about checking attendance classes and grading.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I believe that this subject has many benefits but the workload is too much for students compared to other classes. Even when it’s almost exam week, this class still requires us to submit work. So I think assignments should be cut less with longer time to do.","[{'term': 'instructor', 'polarity': 'neutral'}]"
I think we quiz when the class begins better than we just go to the faculty to take 15 minutes quiz on Wednesday because I take around 2 hours to come to the faculty from my home.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"A fun subject to study, with a reasonable workload.","[{'term': 'organization', 'polarity': 'positive'}]"
If the invited guest speaker doing in online the student should be online too,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Explain both Thai and English. Covering the whole lesson. Thank you very much.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The lecture is easy to understand after the instructor has taught.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
The lecture is easy to understand after the instructor has taught.,"[{'term': 'organization', 'polarity': 'positive'}]"
"[instructor] should tell the student about the project at least two weeks before the final exam. [instructor] also should not give any assignments during the final exam. I can understand it is the practice but it would be better if it has a solution for the student. I mean how I suppose to know our answer is correct? while in class, we can not understand anything.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Teacher doesn’t have responsibility to prepare slide because we waste time for this 1 hr from 1hr 30min. [instructor] didn’t clearly speak in class. i don’t understand anything that he want until i think i weak english skill but when i study in extra class, i will know.","[{'term': 'organization', 'polarity': 'negative'}]"
The instructor give descriptions and details in class topic very clear,"[{'term': 'instructor', 'polarity': 'positive'}]"
48 [Topic] sent by that night too much,"[{'term': 'organization', 'polarity': 'negative'}]"
"I felt like it's hard to get full picture of what's going on in the lecture class. It'd be better if the entire class is writing code together on the computer during lecture, then let everyone do their own lab afterward. That'd give us better understanding of what's going on.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Too many assignments in my opinion,"[{'term': 'instructor', 'polarity': 'neutral'}]"
I think we quiz when the class begins better than we just go to the faculty to take 15 minutes quiz on Wednesday because I take around 2 hours to come to the faculty from my home.,"[{'term': 'organization', 'polarity': 'negative'}]"
Too much work and why you assign project before final.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Final homework original deadline overlapped with other exams.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Very on time and strict to the point,"[{'term': 'organization', 'polarity': 'neutral'}]"
[instructor] is a very good teacher for me. [instructor] always give a clearly feedback for my work. [instructor] reply the massage very fast which help me do the assignment smoothly. I so happy studying in [instructor]  class.??????,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Teach more than time, work during the exam, a lot","[{'term': 'instructor', 'polarity': 'neutral'}]"
maybe he is good in teaching in Thai language morethan explains things in english.,"[{'term': 'instructor', 'polarity': 'negative'}]"
"[instructor] should tell the student about the project at least two weeks before the final exam. [instructor] also should not give any assignments during the final exam. I can understand it is the practice but it would be better if it has a solution for the student. I mean how I suppose to know our answer is correct? while in class, we can not understand anything.","[{'term': 'organization', 'polarity': 'negative'}]"
Too much homeworkThere are every week.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Quiz is checking the name.And give a little time,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I was also not able to memorize the whole structure and find myself very struggling with the subject. However, one night, through my compassion and a liter of coffee, I decided to revise the material from [course]  from last semester from the beginning focusing on how [topic] works. I find that it is easier for me to study [course] knowing what and how data was sent from each layer.","[{'term': 'instructor', 'polarity': 'neutral'}]"
Do not want to have a news event,"[{'term': 'organization', 'polarity': 'negative'}]"
"Deadline for assignment is too short. 72 hours is a short time compared to other subject which give you at least 1 week to finish the assignment. Also, I thought I'd learn [topic] and not [topic]....","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Good course, learning many things, even teammate does not work very well as expected.","[{'term': 'instructor', 'polarity': 'neutral'}]"
I do not think that this class is necessary for the ICT student,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Finding terms and vocabs are useless.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
I think that [instructor] accent is hard to understand,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I still have a problem with current grading system where the assignment, if done by code gets 100% and done by writing get 75% but there is no source code explanation which really makes it hard for the student to do as, well, you know...we are all really lazy kids and lazy kids don't read source code which is bad but that's the fact of life.","[{'term': 'motivation', 'polarity': 'negative'}]"
Ajarn should not speak during the quiz time,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like the teacher to have a past videoBecause I would like to review more in order to understand more content,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I would like teachers to be more flexible about checking attendance classes and grading.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I want to know every score when I send my assignment. So, I can manage my grade.","[{'term': 'instructor', 'polarity': 'neutral'}]"
I want teacher to tell clearly about the lesson that will be learned because sometime I am a bit confused what we are learning now. And I want teacher teach on slides because I can't obviously see the handwritings on a board,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"he is a kind person and can be a good advisor, however he is not a good instructor at all since he cannot delivered the knowledge in the class to make the student understand.","[{'term': 'instructor', 'polarity': 'negative'}]"
"great teacher, very caring and respectful. unfortunately the classes are usually at the evening of the day. on the other hand, the workloads on other subjects redusce the time we can spend with the study buddies and self-learning significantly","[{'term': 'motivation', 'polarity': 'neutral'}]"
I think changing to other studies should be more useful (such as [Course] etc.),"[{'term': 'instructor', 'polarity': 'neutral'}]"
The number of assignments is quite too much.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"I enjoy the class because the instructor keeps the students engaged and is able to explain the content in a way that keeps me interested. The instructor also has broad knowledge on the subject and can explain it well. Also, I appreciate that the instructor motivates us to search for more IT knowledge.","[{'term': 'motivation', 'polarity': 'positive'}]"
"The workload is unbalanced and too much to handle. Some assignment is not nectary and waste time. Some individual assignments look like one project. Moreover, the requirement of the project and weekly assignment is not efficient such as the report should have 20 pages, Summarize must be more than two pages. I think the number of pages can not reflect any quality of work and knowledge","[{'term': 'instructor', 'polarity': 'neutral'}]"
Please record lectures online,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"Would like the teacher to keep this style indefinitely. I study with the teacher a lot, but have to repeat more knowledge than others","[{'term': 'motivation', 'polarity': 'positive'}]"
I want the teacher to teach a little slower.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"[instructor] should tell the student about the project at least two weeks before the final exam. [instructor] also should not give any assignments during the final exam. I can understand it is the practice but it would be better if it has a solution for the student. I mean how I suppose to know our answer is correct? while in class, we can not understand anything.","[{'term': 'content quality', 'polarity': 'neutral'}]"
This course is very difficult expecially the last part. I think there should be some adjustment to the cirriculum and maybe exclue some topic. Some topics are too complicated to be taught in an entry level class in my opinion.,"[{'term': 'organization', 'polarity': 'neutral'}]"
The teacher gives the work every week and gives time to send by midnight on the day of the work. There is no answer or answers whether the homework that has been done and sent correctly or not.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Quiz is checking the name.And give a little time,"[{'term': 'organization', 'polarity': 'negative'}]"
Finding terms and vocabs are useless.,"[{'term': 'organization', 'polarity': 'negative'}]"
[instructor] is a very good teacher for me. [instructor] always give a clearly feedback for my work. [instructor] reply the massage very fast which help me do the assignment smoothly. I so happy studying in [instructor]  class.??????,"[{'term': 'instructor', 'polarity': 'positive'}]"
"Change the assignment cuz in real world, we use [library], [library] not necessary to do recursive or anything like that.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"I like the way you teach us very much, as well as the suggestions and descriptions. That helps us very much to understand each assignment more clearly. Additionally, I see the effort and dedication in teaching. Thank you. I hope to see you next semester!","[{'term': 'organization', 'polarity': 'positive'}]"
"This class is the least enjoyable class in this semeseter. The weekly assignment in my opinion is not nessecary. This class's assignment is too heavy, and it takes up most of the time I have spent in this semester. So much work for so few credits, not to mention that the content is scattered all over the place, with some overlapping with computer networking and software engineering. I think this class has potential but by the way it is planned right now, theres too much unnessecary workload and too much contents. Please adjust this class.","[{'term': 'motivation', 'polarity': 'negative'}]"
please have more flexibility about hybrid classes (online+onsite),"[{'term': 'instructor', 'polarity': 'neutral'}]"
"Deciding to host onsite classes and her only appearing in online meetings is one of the worst experiences I have ever felt, sure, [instructor] may have health issues but could have hosted online classes. To add an insult to injury, [instructor] expresses dislike to many students because nobody listens to [instructor], but we do have a defense, there's nothing but [instructor] just reading things on the presentation slides so how could we stay focused on what is literally right there in the slide itself? While I do not like to say that [instructor] is redundant and useless, I and many others share the same opinion that there is almost nothing of value in really being engaged in [instructor] class, we have many other things that are important to deal with.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"A lot of homeworkThere should be an answer and check the homework as well.When the exam does not have sheets, it will be repeated.","[{'term': 'motivation', 'polarity': 'neutral'}]"
48 [Topic] sent by that night too much,"[{'term': 'instructor', 'polarity': 'neutral'}]"
like the teaching way,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"The project shouldn't assign to students during examination week because we have to rest and review the lecture. So, we cannot fully focus on the project.","[{'term': 'content quality', 'polarity': 'neutral'}]"
[instructor] attended me very cordially and professionally every time I did request [instructor] assistance,"[{'term': 'instructor', 'polarity': 'positive'}]"
"He didn’t clear to assign homework, and he never adapt himself. i commented he in [subject] in the same problem.","[{'term': 'instructor', 'polarity': 'negative'}]"
"Teacher didn’t write about topic while  teaching, so we often don’t know what chapter we learn, and using whiteboard in teaching made it harder to lecture because teacher was random location to write and disorderly. His communication was also incomprehensible.","[{'term': 'instructor', 'polarity': 'negative'}]"
"Everything is great, but the midterm exam is quite hard lol, maybe I have to try harder to understand it.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Teach more than time, work during the exam, a lot","[{'term': 'organization', 'polarity': 'negative'}]"
Order a lot of workBut gives very little time to work,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"The recording is not provided, but I do urge academic affairs to provide the recordings so that the students may be able to revise the material on their own.","[{'term': 'motivation', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Thank you for teaching this good.,"[{'term': 'organization', 'polarity': 'neutral'}]"
The teacher taught very well.,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Would like [instructor] to list the assignment in [system]. At some point, I do forgot about the assignment.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Add more technology cultural evolution,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Projects are challenging, it will be more enjoyable if we have more time to do it. Regretted not doing the coding for assignment","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Love the way you teach us, I appreciate it!","[{'term': 'instructor', 'polarity': 'positive'}]"
I want [instructor] to speak clearly,"[{'term': 'instructor', 'polarity': 'negative'}]"
"In the part where I didn't understand the coding, I want this course to teach me more clearly about competitive thinking or the process to do before coding, like cutting the problem. However, I also think this course is good for us.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Everything is fantastic except for using the [system] for work.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Change the assignment cuz in real world, we use [library], [library] not necessary to do recursive or anything like that.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"If the class requires students to take the quiz on site, it should be arranged in class time.","[{'term': 'instructor', 'polarity': 'neutral'}]"
Quiz too much,"[{'term': 'content organization', 'polarity': 'negative'}]"
"I find the instructor to be highly skilled in this field. However, it is difficult to understand what is taught. I feel that self-learning is definitely required if you see this instructor teaching.","[{'term': 'organization', 'polarity': 'neutral'}]"
"Midterm exam has a lot of calculation, I think a calculator should be allowed since we are being tested for our [course] skills and not our calculation skills.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Please let students have attendance checks while some phones aren't capable to scan from some distance or have another way for attendance,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I do not think that this class is necessary for the ICT student,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I really enjoyed your lecture, you understand the student very well and assigned a reasonable workload.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Arrange extra class,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Homework due date should be next date from when it assign.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
I want teacher to tell clearly about the lesson that will be learned because sometime I am a bit confused what we are learning now. And I want teacher teach on slides because I can't obviously see the handwritings on a board,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The lecture is easy to understand after the instructor has taught.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Would like the teacher to have techniques that make students more interested in studying,"[{'term': 'motivation', 'polarity': 'negative'}]"
"The workload is simply too much. Having individual assignment every week on top of gorup assignment, every week, is simply just too much considering this term's subjects. Individual homework often consist of having to list the meaning of this amount of words which in my opinion, didn't help me gain knowledge and certainly not [course] knowledge. The assigments or project requirement are sometimes unreasonable. Having the same minimum requirement of pages in phase 2 of the project as phase one is just simply lazy on their part at best and malicious at worst, phase 2 of the project simply has less content than phase 1 by a mile and yet they still expect us to deliver the same amount of pages as phase one. I also have issues with the questions in midterm exam. I can't simply cannot make sense of some of the question they decided to ask us. Why would having us list the tasks of team prject member and rate them test my knowledge of [course]. How would letting us give meaning to some words in an open-book exam benefit us when we do jobs in the future. It also took me almost all of this semester time to just find the meaning and importance of [course] and it's not by the class or exam or project but simply by my own research. Also we do we need to do executive summary and summary to every group assignment when sometimes the content is just half a page.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Deadline in sending work is quite fast in some events.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
I think students should discuss in classroom and teacher should use microphone and projector for clear teaching.,"[{'term': 'instructor', 'polarity': 'negative'}]"
If the invited guest speaker doing in online the student should be online too,"[{'term': 'organization', 'polarity': 'negative'}]"
"Overall is excellent, but it would be better if we could receive the slide in the classroom.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Too much works,"[{'term': 'organization', 'polarity': 'negative'}]"
The teacher should have more time to check the name.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Instructor often ignor student's question and things being asking regarding the class never been replyed.,"[{'term': 'instructor', 'polarity': 'negative'}]"
"This class is the least enjoyable class in this semeseter. The weekly assignment in my opinion is not nessecary. This class's assignment is too heavy, and it takes up most of the time I have spent in this semester. So much work for so few credits, not to mention that the content is scattered all over the place, with some overlapping with computer networking and software engineering. I think this class has potential but by the way it is planned right now, theres too much unnessecary workload and too much contents. Please adjust this class.","[{'term': 'organization', 'polarity': 'negative'}]"
I love teachers bc they have read our work before q@&a session so they can provide good feedback,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Deadline in sending work is quite fast in some events.,"[{'term': 'organization', 'polarity': 'negative'}]"
"Like, please ask for the quiz at the end of the period.","[{'term': 'organization', 'polarity': 'negative'}]"
I love teachers bc they have read our work before q@&a session so they can provide good feedback,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"This class is the least enjoyable class in this semeseter. The weekly assignment in my opinion is not nessecary. This class's assignment is too heavy, and it takes up most of the time I have spent in this semester. So much work for so few credits, not to mention that the content is scattered all over the place, with some overlapping with computer networking and software engineering. I think this class has potential but by the way it is planned right now, theres too much unnessecary workload and too much contents. Please adjust this class.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"I feel too cruel and there is an inappropriate comment.Such as showing children's work and comparing with other studentsAlso, there is no confusion in order to change the Instructor on the last day before sending.I can't manage time.","[{'term': 'motivation', 'polarity': 'neutral'}]"
You are very kind and I really like your teaching style.,"[{'term': 'organization', 'polarity': 'neutral'}]"
The teacher taught is a little too fast.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Good course, learning many things, even teammate does not work very well as expected.","[{'term': 'organization', 'polarity': 'neutral'}]"
This course is very difficult expecially the last part. I think there should be some adjustment to the cirriculum and maybe exclue some topic. Some topics are too complicated to be taught in an entry level class in my opinion.,"[{'term': 'content quality', 'polarity': 'negative'}]"
Too much works,"[{'term': 'instructor', 'polarity': 'neutral'}]"
I like the real-time feedback that [instructor] gave during class.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Professor received homework in class, so when i get sick i cannot sent the homework properly. I think ajarn should use [software] to sent the homework. It does not make sense that student must send the homework without using [system] while in online session student can send the assignment with tools.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Change the assignment cuz in real world, we use [library], [library] not necessary to do recursive or anything like that.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"The lecture slides content is sometimes having too much content for students to digest, but still appreciated studying this course with [instructor] and [instructor].","[{'term': 'instructor', 'polarity': 'neutral'}]"
Ajarn should not speak during the quiz time,"[{'term': 'instructor', 'polarity': 'negative'}]"
"During my contact with [instructor], I could realize that [instructor] is a very efficient academic. [instructor] knowledge and experience is certainly extensive","[{'term': 'organization', 'polarity': 'neutral'}]"
"Overall is excellent, but it would be better if we could receive the slide in the classroom.","[{'term': 'content quality', 'polarity': 'neutral'}]"
please use a microphone,"[{'term': 'instructor', 'polarity': 'negative'}]"
Order a lot of workBut gives very little time to work,"[{'term': 'motivation', 'polarity': 'neutral'}]"
