raw_text,aspectTerms
"Professor received homework in class, so when i get sick i cannot sent the homework properly. I think ajarn should use [software] to sent the homework. It does not make sense that student must send the homework without using [system] while in online session student can send the assignment with tools.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Would like the teacher to speak clearlyAnd there are indicators of the details of both the Assignment and the scores of that work.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'motivation', 'polarity': 'positive'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'content quality', 'polarity': 'negative'}]"
Aj. is very nice. You made us feel comfortable asking. Thank you.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I really like how [instructor] listens to [instructor] students and adaptable,"[{'term': 'instructor', 'polarity': 'positive'}]"
Would like to have various assignments in [System] or [Sytem].,"[{'term': 'organization', 'polarity': 'neutral'}]"
too much unnecessary work,"[{'term': 'organization', 'polarity': 'negative'}]"
The teacher should have more time to check the name.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The job details are not clear.There is almost every mistake because the teacher speaks quite softly and is difficult to listen.,"[{'term': 'organization', 'polarity': 'negative'}]"
Would like the teacher to help focus more on the child behind the roomWould like to teach more slowly for all students to have more efficiency,"[{'term': 'organization', 'polarity': 'negative'}]"
TA is very efficient.,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Advanced topic in [course], and [topic] is very difficult.","[{'term': 'organization', 'polarity': 'neutral'}]"
"I would like the instructor to understand that the method of learning which [instructor] teach is not give student enough understanding for most of student in the class. Even thought some student can implement the project as the requirement, it is because he/she have to seek more knowledge outside the class as instructor may have to consider why most of the student in the class cannot reach the requirement of the project, why they cannot delivered the project which using only the knowledge they learned in the class should be enough. As a result, I would love to let the instructor and faculty know that [instructor] is a kind, good person, and [instructor] can give a good advise with a good intention, but sometime it required morethan that to make the good class.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"he is a kind person and can be a good advisor, however he is not a good instructor at all since he cannot delivered the knowledge in the class to make the student understand.","[{'term': 'content quality', 'polarity': 'neutral'}]"
maybe he is good in teaching in Thai language morethan explains things in english.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I think changing to other studies should be more useful (such as [Course] etc.),"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I feel too cruel and there is an inappropriate comment.Such as showing children's work and comparing with other studentsAlso, there is no confusion in order to change the Instructor on the last day before sending.I can't manage time.","[{'term': 'instructor', 'polarity': 'negative'}]"
Too much works,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I want to thank you for every time Ajarn gives me advice. you are the best!,"[{'term': 'instructor', 'polarity': 'positive'}]"
We shouldn't have this subject in our faculty from its uselessness,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Would like the teacher to keep this style indefinitely. I study with the teacher a lot, but have to repeat more knowledge than others","[{'term': 'organization', 'polarity': 'neutral'}]"
"Ajarn releases the project 2 very late, but it should be releases at the beginning of November in syllabus. That is very little time to do the project.","[{'term': 'organization', 'polarity': 'negative'}]"
Like in the entry of the work of the instructorThe teacher uses a variety of boring tones and teaching.Makes me feel that this course is worth studyingAs well as allowing students to participate in the opinion or have reaction,"[{'term': 'motivation', 'polarity': 'positive'}]"
Thank you for teaching us and giving us advice. I'm truly grateful. I hope you all the best!,"[{'term': 'organization', 'polarity': 'neutral'}]"
This course is good. The children should study.,"[{'term': 'content quality', 'polarity': 'positive'}]"
Do not want to have a news event,"[{'term': 'content quality', 'polarity': 'neutral'}]"
continue with this teaching method,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Too many work and must be sent within one day.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Please record lectures online,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"It's difficult install [software] on Unix based devices, especially with the modern ARM processors, [software] only supports the x86_64 architecture. I think there are plenty of alternatives that natively support both x86_64 and arm64 chipsets (maybe the ones that are web based or written in java), as running Netica through emulation causes the program to be unstable and crashes alot (Tested on x86_64 Suse Tumbleweed and arm64 Windows, there are cases where my friends with m1 macbooks aren't able to install at all).","[{'term': 'motivation', 'polarity': 'neutral'}]"
I would like teachers to be more flexible about checking attendance classes and grading.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"after midterm with [Instructor] isn't really good, his teaching method is difficult to understands yet he blames students to use ""ears and eyes"" to look and listen. he's not easy to approach.","[{'term': 'motivation', 'polarity': 'negative'}]"
We shouldn't have this subject in our faculty from its uselessness,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"In the part where I didn't understand the coding, I want this course to teach me more clearly about competitive thinking or the process to do before coding, like cutting the problem. However, I also think this course is good for us.","[{'term': 'organization', 'polarity': 'neutral'}]"
Love the way u taught.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I like you teaching such as assignments, give us an example.","[{'term': 'content quality', 'polarity': 'neutral'}]"
The air conditioner in the lab is very cold.Would like the table to be wider than this when placing the box [Course] and the laptop,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Change the way U taught, not copy from book. Make it simplify and easy for student to learn.","[{'term': 'organization', 'polarity': 'neutral'}]"
There should be more hour studying this course.And there is a problem similar to the exam to practice,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"I like to study with the teacher very much. I like the accent, like the attention of the teacher.","[{'term': 'instructor', 'polarity': 'positive'}]"
"Would like the teacher to keep this style indefinitely. I study with the teacher a lot, but have to repeat more knowledge than others","[{'term': 'content quality', 'polarity': 'neutral'}]"
"Change the way U taught, not copy from book. Make it simplify and easy for student to learn.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Would like to have more work as a HW than the exam,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The content in later parts of the course are very hard to understand. I wonder if any of my friends understand 60% of it.,"[{'term': 'content quality', 'polarity': 'negative'}]"
Sometimes I didn't catch the content if you went too fast.,"[{'term': 'instructor', 'polarity': 'negative'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I think this course is very good, and I like it so much. Aj teaches and treats very well.","[{'term': 'instructor', 'polarity': 'positive'}]"
I really like how [instructor] listens to [instructor] students and adaptable,"[{'term': 'motivation', 'polarity': 'neutral'}]"
The content at some point is still teaching and does not understand.,"[{'term': 'instructor', 'polarity': 'negative'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'organization', 'polarity': 'neutral'}]"
"Midterm exam has a lot of calculation, I think a calculator should be allowed since we are being tested for our [course] skills and not our calculation skills.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"For 1.2, I think you should provide the link to the video you opened during the class because they are pdf files and we can see only the image. Another thing is the activity document, you should check [software] is same as schematic or not.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"I like the way you teach us very much, as well as the suggestions and descriptions. That helps us very much to understand each assignment more clearly. Additionally, I see the effort and dedication in teaching. Thank you. I hope to see you next semester!","[{'term': 'instructor', 'polarity': 'positive'}]"
"Very great, you made this class more enjoyable.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like to have more work as a HW than the exam,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The quiz gives wayyyyyy too little time. Barely anyone can finish it in time. please consider. (the content is already hard enough),"[{'term': 'instructor', 'polarity': 'neutral'}]"
That the teacher teaching is very goodNothing led because the teacher really taught very well.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Ajarn should not speak during the quiz time,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Teacher didn’t write about topic while  teaching, so we often don’t know what chapter we learn, and using whiteboard in teaching made it harder to lecture because teacher was random location to write and disorderly. His communication was also incomprehensible.","[{'term': 'organization', 'polarity': 'negative'}]"
I want [instructor] to speak clearly,"[{'term': 'motivation', 'polarity': 'neutral'}]"
I like that the teacher gave us advice on how to improve our projects and taught us to really understand lessons.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Remove this subject,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I think that [instructor] accent is hard to understand,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Could AJ use the slide that does not contain a solid color such as blue or black background because when students have to print the material for the examination, they are difficult to read or have to print it using color ink or Could AJ please give the slide in the format that we can edit by ourselves?","[{'term': 'instructor', 'polarity': 'neutral'}]"
"I enjoy the class because the instructor keeps the students engaged and is able to explain the content in a way that keeps me interested. The instructor also has broad knowledge on the subject and can explain it well. Also, I appreciate that the instructor motivates us to search for more IT knowledge.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I want to know every score when I send my assignment. So, I can manage my grade.","[{'term': 'motivation', 'polarity': 'neutral'}]"
TA is very efficient.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Do not want to have a news event,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"I felt like it's hard to get full picture of what's going on in the lecture class. It'd be better if the entire class is writing code together on the computer during lecture, then let everyone do their own lab afterward. That'd give us better understanding of what's going on.","[{'term': 'instructor', 'polarity': 'neutral'}]"
Quiz too much,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I think students should discuss in classroom and teacher should use microphone and projector for clear teaching.,"[{'term': 'organization', 'polarity': 'negative'}]"
"after midterm with [Instructor] isn't really good, his teaching method is difficult to understands yet he blames students to use ""ears and eyes"" to look and listen. he's not easy to approach.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I still have a problem with current grading system where the assignment, if done by code gets 100% and done by writing get 75% but there is no source code explanation which really makes it hard for the student to do as, well, you know...we are all really lazy kids and lazy kids don't read source code which is bad but that's the fact of life.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Quiz too much,"[{'term': 'instructor', 'polarity': 'neutral'}]"
Thank you for teaching us and giving us advice. I'm truly grateful. I hope you all the best!,"[{'term': 'instructor', 'polarity': 'positive'}]"
The work is scheduled within the same day as 40 items.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I can't follow teacher from time to time because of English speech.,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Good teaching skills, very flexible","[{'term': 'organization', 'polarity': 'neutral'}]"
Too many assignments in my opinion,"[{'term': 'organization', 'polarity': 'neutral'}]"
recessively boring and useless subject indeed,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The number of assignments is quite too much.,"[{'term': 'organization', 'polarity': 'negative'}]"
Too much work and why you assign project before final.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'instructor', 'polarity': 'neutral'}]"
I wish the class is onsite.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"The problem with most of the students, including me at some point in the learning experience, is that they cannot remember the [topic] . I was also not able to memorize the whole structure and find myself very struggling with the subject. However, one night, through my compassion and a liter of coffee, I decided to revise the material from [course]  from last semester from the beginning focusing on how [topic] works. I find that it is easier for me to study [course] knowing what and how data was sent from each layer.","[{'term': 'organization', 'polarity': 'negative'}]"
"I suggest that learning in Lab or w/ computer, always help students learns better.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Instructor often ignor student's question and things being asking regarding the class never been replyed.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I believe that this subject has many benefits but the workload is too much for students compared to other classes. Even when it’s almost exam week, this class still requires us to submit work. So I think assignments should be cut less with longer time to do.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Please let students have attendance checks while some phones aren't capable to scan from some distance or have another way for attendance,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The instructor give descriptions and details in class topic very clear,"[{'term': 'organization', 'polarity': 'positive'}]"
"I feel too cruel and there is an inappropriate comment.Such as showing children's work and comparing with other studentsAlso, there is no confusion in order to change the Instructor on the last day before sending.I can't manage time.","[{'term': 'organization', 'polarity': 'negative'}]"
"I felt like it's hard to get full picture of what's going on in the lecture class. It'd be better if the entire class is writing code together on the computer during lecture, then let everyone do their own lab afterward. That'd give us better understanding of what's going on.","[{'term': 'organization', 'polarity': 'negative'}]"
The teacher taught very well.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Everything is fantastic except for using the [system] for work.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
I like the real-time feedback that [instructor] gave during class.,"[{'term': 'instructor', 'polarity': 'positive'}]"
"This class is the least enjoyable class in this semeseter. The weekly assignment in my opinion is not nessecary. This class's assignment is too heavy, and it takes up most of the time I have spent in this semester. So much work for so few credits, not to mention that the content is scattered all over the place, with some overlapping with computer networking and software engineering. I think this class has potential but by the way it is planned right now, theres too much unnessecary workload and too much contents. Please adjust this class.","[{'term': 'content quality', 'polarity': 'negative'}]"
It would be better if we have the permanent schedule for the class. Separate every class for each section might be more efficient.,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"The teacher does not understand, must read almost 100%. There is no understanding of the content at all.I don't know how the content taught.Speaking sarcasticallyWhen there is a consultation in the classDue to not understanding and unable to catch upThe teacher has a rating to go out of the room, which actually has the duty to teach aboutIf teachingNo need to talk to each other.Speak on the moodExpressed the maturity of the instructorWould like the teacher to focus more on teaching","[{'term': 'organization', 'polarity': 'negative'}]"
"The deadline for homework is too fast. I think the teacher should give more time to do the homework in order to give me time to learn and practice more.(I such a slow person to understand Math, It is hard to do a lot of questions within 00.00 am deadline)","[{'term': 'motivation', 'polarity': 'neutral'}]"
"When there is a question, the teacher cannot answer the question.Told me to ask a friend who felt that it was the duty of the teacherTeaching media is quite bad.Slide each week, switch back and forth without proportion.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Too much homeworkThere are every week.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
recessively boring and useless subject indeed,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Like, please ask for the quiz at the end of the period.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Please don't teach too slowly,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Will be even better if thereoutline in the work sectionSo that students will focus on the topic that the course needs moreBut if in order to think, study, research, find the necessary information by yourself, now is ok","[{'term': 'instructor', 'polarity': 'neutral'}]"
The teacher taught very well.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Like in the entry of the work of the instructorThe teacher uses a variety of boring tones and teaching.Makes me feel that this course is worth studyingAs well as allowing students to participate in the opinion or have reaction,"[{'term': 'instructor', 'polarity': 'positive'}]"
"At the time of writing, how to use other apps instead, such as the [Software], [software] etc. Because writing in [software] is quite delay and makes it difficult to read sometimes.Thank you in advance.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like the teacher to have techniques that make students more interested in studying,"[{'term': 'organization', 'polarity': 'neutral'}]"
please use a microphone,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"There are many students each year that fail this course. Therefore, I think the faculty should consider that this course could change and examine it.","[{'term': 'content quality', 'polarity': 'negative'}]"
"If the class requires students to take the quiz on site, it should be arranged in class time.","[{'term': 'organization', 'polarity': 'negative'}]"
"Good course, learning many things, even teammate does not work very well as expected.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"I enjoy the class because the instructor keeps the students engaged and is able to explain the content in a way that keeps me interested. The instructor also has broad knowledge on the subject and can explain it well. Also, I appreciate that the instructor motivates us to search for more IT knowledge.","[{'term': 'organization', 'polarity': 'neutral'}]"
"Want to have a workshop, try to use various tools to see the image","[{'term': 'organization', 'polarity': 'neutral'}]"
"The teacher does not understand, must read almost 100%. There is no understanding of the content at all.I don't know how the content taught.Speaking sarcasticallyWhen there is a consultation in the classDue to not understanding and unable to catch upThe teacher has a rating to go out of the room, which actually has the duty to teach aboutIf teachingNo need to talk to each other.Speak on the moodExpressed the maturity of the instructorWould like the teacher to focus more on teaching","[{'term': 'content quality', 'polarity': 'neutral'}]"
Please wait for those whom lack of understanding.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
[instructor] accent is hard to understand a lesson.,"[{'term': 'organization', 'polarity': 'neutral'}]"
I think changing to other studies should be more useful (such as [Course] etc.),"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Homework that is done without a clear answer, resulting in the idea that it is a trainingBut doing without knowing whether it is wrong or not, it may be benefited anyway.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like the teacher to have techniques that make students more interested in studying,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I like your class very much. It's very great for us. I have received a lot of opinions in your class. Thank you!!,"[{'term': 'instructor', 'polarity': 'neutral'}]"
The lecture is easy to understand after the instructor has taught.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'organization', 'polarity': 'neutral'}]"
"[instructor] teachings are quite confusing, yes, the [course] subject itself is very hard, but [instructor] style of teaching makes it quite hard to understand the meaning, add to that the slides are not quite detailed and vague in meaning. One particular unbelievable moment is giving assignments a week before an exam, yes, the assignment is useful but at least give us that final assignment much earlier than that.","[{'term': 'content quality', 'polarity': 'negative'}]"
"I would like this course to be more practical. It is mostly about the theory, which cannot engage students to learn more about [course] even though it is fun and useful in real life. I wish it to focus more on the real implementation and reduce the theory part.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"The recording is not provided, but I do urge academic affairs to provide the recordings so that the students may be able to revise the material on their own.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Love the way you teach us, I appreciate it!","[{'term': 'motivation', 'polarity': 'neutral'}]"
Assignments’s Deadline too early.,"[{'term': 'organization', 'polarity': 'negative'}]"
I wish the class is onsite.,"[{'term': 'organization', 'polarity': 'negative'}]"
I like that the teacher gave us advice on how we improve our projects and taught ourselves to really understand lessons.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I love the way you taught.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Explain both Thai and English. Cover the whole lesson. Thank you very much.,"[{'term': 'organization', 'polarity': 'neutral'}]"
1.2 hours of successive studies are too much for me to stay concentrated. I prefer 2 breaks during a class like [course].,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"The decision to host courses on site and appear in online meetings is one of the worst experiences I've ever felt.[Instructor] may have health problems, but could have hosted online courses. In addition to insulting the injury, adding [trainer] many students do not like to like because nobody lists [instructor], but we have a defense, there is nothingOther than [instructor] you only read things on the presentation films.How can we concentrate on it. What is literally right there in the film itself? Although I don't like to say that [instructors] is superfluous and useless, I and many others share the same opinion that there is almost nothing valuable, really in[Trainer] class to be busy, but we have many other things that are important that are important that are important that are important, which are important, which are important, that are important.","[{'term': 'motivation', 'polarity': 'negative'}]"
"The trainer gives descriptions and details in the class topic very clearly,","[{'term': 'content quality', 'polarity': 'neutral'}]"
"To give up tasks and group projects almost every week are too excessive, there is too much workload and these tasks are not really helpful in my opinion to study the course.in the report should be available.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Thank you for teaching this well.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Lots of work pollution,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"I was also unable to memorize the whole structure and struggle with the topic very much. However, I decided one at night through my sympathy and a coffee liter to revise the material from the beginning and from the last semester andTo concentrate on how [topic] works. I think that it is easier for me to know what and how data has been sent from every layer.","[{'term': 'motivation', 'polarity': 'positive'}]"
If you want to have a link that can write down and edit the group that some students who have no group know that there are no groups and that it is a request to the group with other groups.,"[{'term': 'organization', 'polarity': 'negative'}]"
"I appreciate your apprenticeship! And everything, thank you for teaching us!","[{'term': 'organization', 'polarity': 'neutral'}]"
1.2 hours of successive studies are too much for me to stay concentrated. I prefer 2 breaks during a class like [course].,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"The project should not assign the students during the exam week because we have to rest and check the lecture, so we cannot fully concentrate on the project.","[{'term': 'instructor', 'polarity': 'neutral'}]"
The teacher gives a snack when he rests during class and asks the students whether he can or not.The master takes care of it.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Lots of work pollution,"[{'term': 'organization', 'polarity': 'negative'}]"
Your teaching styles were easy to understand. (: D),"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I think that the instructor should explain the content more detail because I could not understand several parts of the lectures.is complicated for several parts. Yede film set a new topic and I was able to contain the overall picture of the topics and how this film is related to the previous or next.Confusing and delivering a clear explanation of the content. Several parts were independent sentences that were difficult to connect what the topic is and in the other parts of the explanation. I had to make a rather extensive external learning through several websites on the Internet toto understand some parts of the lectures, since I could not understand the explanations given in the foils.easier to be understandable.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"He was not clear to assign homework, and he never adapted to him. I commented in [subject] in the same problem.","[{'term': 'organization', 'polarity': 'negative'}]"
1.2 hours of successive studies are too much for me to stay concentrated. I prefer 2 breaks during a class like [course].,"[{'term': 'organization', 'polarity': 'negative'}]"
The teacher gives a snack when he rests during class and asks the students whether he can or not.The master takes care of it.,"[{'term': 'organization', 'polarity': 'neutral'}]"
Remove this topic,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Aj. Very nice. They made us feel like we ask us. Thank you nice.,"[{'term': 'instructor', 'polarity': 'positive'}]"
For 1.2 I think that you provide the link to the video that you have opened during the class because it is PDF files and we can only see the picture. Another thing is the activity document.You should check whether [software] is the same as schematic or not.,"[{'term': 'content quality', 'polarity': 'negative'}]"
The content still teaches and does not understand.,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Professor received homework in class.If I get sick, I cannot send the homework correctly. I think Ajarn should use [software] to send homework. It does not make sense that the student has to send homework without using [system] whilethe student can send the task with tools.","[{'term': 'motivation', 'polarity': 'neutral'}]"
I want the teacher to speak clearly and that there are indicators for the details of both the task and the scores of this work.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"From the experience of researching the first five weeks of this course and fun in various workers overall, I like this course very much","[{'term': 'motivation', 'polarity': 'positive'}]"
"I think the lesson is too heavy for me to absorb.However, I will do my best to understand these things!","[{'term': 'content quality', 'polarity': 'negative'}]"
Aj. Very nice. They made us feel like we ask us. Thank you nice.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I really like how [trainers] hears students and adaptable and adaptable,"[{'term': 'instructor', 'polarity': 'positive'}]"
I would like to have different tasks in [System] or [System].,"[{'term': 'organization', 'polarity': 'neutral'}]"
The job details are not clear.There is almost every mistake because the teacher speaks quite quietly and is difficult to listen.,"[{'term': 'organization', 'polarity': 'negative'}]"
Wants the teacher to help concentrate more on the child behind the room,"[{'term': 'organization', 'polarity': 'negative'}]"
Advanced topic in the [course] and [topic] is very difficult.,"[{'term': 'organization', 'polarity': 'neutral'}]"
"I want the instructor to understand that the method of learning that teach [trainer] does not give the student enough for most of the student in the class. A student can implement the project as a prerequisite because itMust search more knowledge outside of the class, because the instructor may have to consider why the majority of the student can not deliver the project that only the knowledge you have learned in class.Faculty let know that [instructor] a friendly, good person and [instructor] can give good advice with good intentions.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"He is a friendly person and can be a good consultant, but he is not a good instructor at all because he cannot convey the knowledge in the class to let the student understand.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Perhaps he is good at teaching in the Thai language.Morethan explains things in English.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
I think the switch to other studies should be more useful (such as [course] etc.),"[{'term': 'content quality', 'polarity': 'neutral'}]"
I feel too cruel and there is an inappropriate comment.How the work of children and compared to other student injuries does not give confusion to change the instructor on the last day before sending.I can't manage time.,"[{'term': 'instructor', 'polarity': 'negative'}]"
I would like to thank you for every time Ajarn gives me advice. You are the best!,"[{'term': 'instructor', 'polarity': 'positive'}]"
